Рег. №,Статус,Име на читалище,Област,Община,Град/село,Адрес,Булстат,Председател,Секретар,E-mail,Телефон,Факс,линк,Връзка към сайт библиотеки,Информационна карта,Информационна карта 2016,Информационна карта 2017,Информационна карта 2018,Информационна карта 2019,Информационна карта 2020,Информационна карта 2021,Информационна карта 2022
0,Закрито,тест,СОФИЯ-ГРАД,СТОЛИЧНА,ГРАД СОФИЯ,тест,00000000,тест,тест,psavov@pimdesign.org,00000000,00000000,https://chitalishta.com/index.php?act=community&do=detail&id=3666&reg_num=0,http://bibliobg.com/index.php?act=community&do=detail&hash=70352f41061eda4ff3c322094af068ba70c3b38b,,,,,,,,
1,Действащо,Съзнание 1873г.,ПЛОВДИВ,РОДОПИ,СЕЛО БРЕСТОВИЦА,"Пл.Съединение 1 А, п.к.4224",000455980,Здравка Веселинова Мерджанова,Мария Иванова Банджакова,ch_saznanie@yahoo.com;ch_saznanie@abv.bg,03142/9118; 0897674976,,https://chitalishta.com/index.php?act=community&do=detail&id=2846&reg_num=1,http://bibliobg.com/index.php?act=community&do=detail&hash=2e91095d55e125cd307587cf04837115c77e1f89,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=54385,https://chitalishta.com/index.php?act=community&do=detail1&id=73391,https://chitalishta.com/index.php?act=community&do=detail1&id=88092,https://chitalishta.com/index.php?act=community&do=detail1&id=99060,
2,Действащо,Иван Вазов-1871,ПЛОВДИВ,СОПОТ,ГРАД СОПОТ,"Иван Вазов 53, п.к.4330",000455913,Антонина Цочева Цочева,Диана Стоева Кушева,chit_sopot@abv.bg,0893542266,-,https://chitalishta.com/index.php?act=community&do=detail&id=2847&reg_num=2,http://bibliobg.com/index.php?act=community&do=detail&hash=407812c0014666513faa9af0ee8745960aeb8a31,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=71738,https://chitalishta.com/index.php?act=community&do=detail1&id=87012,https://chitalishta.com/index.php?act=community&do=detail1&id=101049,
3,Действащо,Прогрес 1939,СМОЛЯН,ЗЛАТОГРАД,СЕЛО СТАРЦЕВО,"Васил Левски 43, п.к.4987",120039195,Хари Емилов Торманов,Даниела Ангелова Мемова,starcevo_chitalishte@abv.bg,0897077226,www. progres1939.com,https://chitalishta.com/index.php?act=community&do=detail&id=3&reg_num=3,http://bibliobg.com/index.php?act=community&do=detail&hash=d59257d3964290333dce48859cbfd9d23bdd806f,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=67193,https://chitalishta.com/index.php?act=community&do=detail1&id=79377,https://chitalishta.com/index.php?act=community&do=detail1&id=89470,https://chitalishta.com/index.php?act=community&do=detail1&id=106108
4,Действащо,Петър Богдан Бакшев -1909,ПЛОВДИВ,РАКОВСКИ,ГРАД РАКОВСКИ,"“Петър Богдан” 77,ет.3, кв.Секирово п.к.4150",000455891,Илиана Климентова Гендова,Иванка Бонева Говедарова,chitalishte_p.b@mail.bg,0894267888,,https://chitalishta.com/index.php?act=community&do=detail&id=4&reg_num=4,http://bibliobg.com/index.php?act=community&do=detail&hash=a04d2fe35fe02c71b7f173d2526d3eefbe88c785,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=53774,https://chitalishta.com/index.php?act=community&do=detail1&id=73151,https://chitalishta.com/index.php?act=community&do=detail1&id=85234,https://chitalishta.com/index.php?act=community&do=detail1&id=98440,
5,Действащо,Христо Ботев 1930 г. - с. Стряма,ПЛОВДИВ,РАКОВСКИ,СЕЛО СТРЯМА,"Васил Левски 40, п.к.4142",000457814,Ангелина Петкова Трифонова,Стоянка Георгиева Чучулска,chitalishte_s.stryama@abv.bg,0878780102,-,https://chitalishta.com/index.php?act=community&do=detail&id=5&reg_num=5,http://bibliobg.com/index.php?act=community&do=detail&hash=86718ce01ceff24911a14d83ff13714eac45889e,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=53537,,https://chitalishta.com/index.php?act=community&do=detail1&id=79746,https://chitalishta.com/index.php?act=community&do=detail1&id=91556,https://chitalishta.com/index.php?act=community&do=detail1&id=105466
6,Неработещо,Зора,ПЛОВДИВ,ПЛОВДИВ,ГРАД ПЛОВДИВ,кв.Столипиново,,Назми Якуб Исуф,,,,,https://chitalishta.com/index.php?act=community&do=detail&id=6&reg_num=6,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,,,,,
7,Действащо,Съгласие-1890,ДОБРИЧ,КАВАРНА,ГРАД КАВАРНА,"Добротица 24, п.к.9650",124134877,Мария Маринова Костадинова,Ивелина Любомирова Павлова,nch_saglasie@abv.bg,0570/ 82077,0570/ 82077,https://chitalishta.com/index.php?act=community&do=detail&id=7&reg_num=7,http://bibliobg.com/index.php?act=community&do=detail&hash=00f72ae4e01fd9c6fd1147dbbc673a9d286535ae,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=65318,https://chitalishta.com/index.php?act=community&do=detail1&id=78483,https://chitalishta.com/index.php?act=community&do=detail1&id=89667,https://chitalishta.com/index.php?act=community&do=detail1&id=103970
8,Действащо,Братство 1869,КЮСТЕНДИЛ,КЮСТЕНДИЛ,ГРАД КЮСТЕНДИЛ,"Отец Паисий 11, п.к.2500",000253021,Иван Манолов Андонов,Людмила Василева Христова,chitalishte@bratstvokn.org,078/ 526395; 0887651034,078/ 529195,https://chitalishta.com/index.php?act=community&do=detail&id=8&reg_num=8,http://bibliobg.com/index.php?act=community&do=detail&hash=c35143b3fe101addb129141ec346b042c7be4440,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=56396,https://chitalishta.com/index.php?act=community&do=detail1&id=70502,https://chitalishta.com/index.php?act=community&do=detail1&id=81999,https://chitalishta.com/index.php?act=community&do=detail1&id=91745,https://chitalishta.com/index.php?act=community&do=detail1&id=107987
9,Действащо,Христо Ботев - 1892,ПЛЕВЕН,БЕЛЕНЕ,ГРАД БЕЛЕНЕ,"пл. България 1, п.к.5930",000403866,Цветана Парашкевова Врайкова,Евелина Иванова Михова,ic.belene@gmail.com,0658/36996;0658/31343; 0887859843; 0879404047,0658 31343,https://chitalishta.com/index.php?act=community&do=detail&id=9&reg_num=9,http://bibliobg.com/index.php?act=community&do=detail&hash=c822f1156437918e5155303ea8acf026b061b26f,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=58392,https://chitalishta.com/index.php?act=community&do=detail1&id=74487,https://chitalishta.com/index.php?act=community&do=detail1&id=87043,https://chitalishta.com/index.php?act=community&do=detail1&id=99539,https://chitalishta.com/index.php?act=community&do=detail1&id=106621
10,Действащо,Никола Йонков Вапцаров -1924 г.,ПЛОВДИВ,СТАМБОЛИЙСКИ,ГРАД СТАМБОЛИЙСКИ,"„Заводска” 15, п.к.4210",000455717,Любомир Грозданов Марков,Жанета Рангелова Иванова,n_vaptzarov@abv.bg,0339/62235,-,https://chitalishta.com/index.php?act=community&do=detail&id=10&reg_num=10,http://bibliobg.com/index.php?act=community&do=detail&hash=1518ed1433820382b51a1e878e1c8a2053a5894e,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=60101,https://chitalishta.com/index.php?act=community&do=detail1&id=75616,https://chitalishta.com/index.php?act=community&do=detail1&id=85898,https://chitalishta.com/index.php?act=community&do=detail1&id=100127,
11,Действащо,Зора 1894,ДОБРИЧ,ШАБЛА,ГРАД ШАБЛА,"Равно поле 36, п.к.9680",000843043,Даниела Железова Кючукова,Георги Стефанов Георгиев,nch_zora1894@abv.bg,05743/4028,-,https://chitalishta.com/index.php?act=community&do=detail&id=11&reg_num=11,http://bibliobg.com/index.php?act=community&do=detail&hash=b1f3cac40ab283f802b913d63c7ae97c7f06e756,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=55704,https://chitalishta.com/index.php?act=community&do=detail1&id=75819,https://chitalishta.com/index.php?act=community&do=detail1&id=85391,https://chitalishta.com/index.php?act=community&do=detail1&id=94922,
12,Действащо,Боян Пенев-1949,ШУМЕН,ШУМЕН,ГРАД ШУМЕН,"Одрин 12, ж.к.Тракия, п.к.9700",000923183,Виолета Василева Папазова,Зорница Наскова Захариева,boqnpenev@abv.bg,"054/868941, 0877602870",-,https://chitalishta.com/index.php?act=community&do=detail&id=12&reg_num=12,http://bibliobg.com/index.php?act=community&do=detail&hash=6cd7c0ecc7c01117c10e2b111692d745364a1268,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=52193,https://chitalishta.com/index.php?act=community&do=detail1&id=71574,https://chitalishta.com/index.php?act=community&do=detail1&id=82200,https://chitalishta.com/index.php?act=community&do=detail1&id=100017,
13,Действащо,Никола Йонков Вапцаров-1866,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГРАД БЛАГОЕВГРАД,"пл.Македония1, п.к. 2700",000014434,Васил Иванов Новоселски,Илиян Юручки,chit_bl@abv.bg,0878 54 56 10,-,https://chitalishta.com/index.php?act=community&do=detail&id=13&reg_num=13,http://bibliobg.com/index.php?act=community&do=detail&hash=bf3ba953e0132766b506f6634a48955fd476e3b3,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=56861,https://chitalishta.com/index.php?act=community&do=detail1&id=73177,https://chitalishta.com/index.php?act=community&do=detail1&id=84324,https://chitalishta.com/index.php?act=community&do=detail1&id=93845,https://chitalishta.com/index.php?act=community&do=detail1&id=105634
14,Действащо,Христо Смирненски -1904 г.,ПАЗАРДЖИК,СЕПТЕМВРИ,ГРАД ВЕТРЕН,"Петдесета 120,  п.к.4480",000343401,Радослев Иванов Лютаков,Петя Дишкова,chitalishte_vetren@abv.bg,0897322118 - председател; 0897934322 - секретар,-,https://chitalishta.com/index.php?act=community&do=detail&id=14&reg_num=14,http://bibliobg.com/index.php?act=community&do=detail&hash=bb04a6beaf8461d020907e0d1da323f38e1583c0,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=62867,https://chitalishta.com/index.php?act=community&do=detail1&id=80004,https://chitalishta.com/index.php?act=community&do=detail1&id=89659,
